#,Date,Time,Dir,Entry,Exit,SL,TP,Vol,Risk$,PnL,Result,Balance
159,2026-03-20,01:20,SELL,4652.35,4654.99,4654.99,4634.94,0.09,18.88,-23.81,LOSS,3751.45
160,2026-03-20,01:20,SELL,4652.35,4654.99,4654.99,4634.94,0.09,18.76,-23.81,LOSS,3727.64
161,2026-03-20,04:30,SELL,4724.04,4725.55,4725.55,4634.94,0.15,18.64,-22.59,LOSS,3705.05
162,2026-03-20,04:30,SELL,4724.04,4725.55,4725.55,4634.94,0.15,18.53,-22.59,LOSS,3682.46
163,2026-03-23,12:15,SELL,4399.56,4424.98,4424.98,4223.97,0.01,18.41,-25.42,LOSS,3657.04
164,2026-03-23,12:15,SELL,4399.56,4424.98,4424.98,4223.97,0.01,18.29,-25.42,LOSS,3631.62
165,2026-03-23,13:19,SELL,4469.22,4517.78,4517.78,4337.28,0.01,18.16,-48.56,LOSS,3583.06
166,2026-03-23,13:19,SELL,4469.22,4517.78,4517.78,4337.28,0.01,17.92,-48.56,LOSS,3534.50
167,2026-03-23,14:00,SELL,4452.30,4472.23,4472.23,4337.28,0.01,17.67,-19.93,LOSS,3514.57
168,2026-03-23,14:00,SELL,4452.30,4472.23,4472.23,4337.28,0.01,17.57,-19.93,LOSS,3494.64
169,2026-03-23,14:30,SELL,4454.66,4486.73,4486.73,4337.28,0.01,17.47,-32.06,LOSS,3462.58
170,2026-03-23,14:30,SELL,4454.66,4486.73,4486.73,4337.28,0.01,17.31,-32.06,LOSS,3430.52
171,2026-03-23,15:00,SELL,4491.56,4402.65,4496.40,4402.65,0.04,17.15,+355.64,WIN,3786.16
172,2026-03-23,15:00,SELL,4491.56,4402.65,4496.40,4402.65,0.04,18.93,+355.64,WIN,4141.80
173,2026-03-23,15:30,SELL,4470.42,4402.65,4483.86,4402.65,0.01,20.71,+67.77,WIN,4209.57
174,2026-03-23,15:30,SELL,4470.42,4402.65,4483.86,4402.65,0.01,21.05,+67.77,WIN,4277.34
175,2026-03-24,07:30,SELL,4406.84,4414.43,4414.43,4368.96,0.05,21.39,-37.93,LOSS,4239.41
176,2026-03-24,07:30,SELL,4406.84,4414.43,4414.43,4368.96,0.05,21.20,-37.93,LOSS,4201.48
177,2026-03-24,08:00,SELL,4403.34,4414.43,4414.43,4368.96,0.03,21.01,-33.26,LOSS,4168.22
178,2026-03-24,08:00,SELL,4403.34,4414.43,4414.43,4368.96,0.03,20.84,-33.26,LOSS,4134.96
179,2026-03-24,08:30,SELL,4407.40,4414.43,4414.43,4368.96,0.05,20.67,-35.14,LOSS,4099.82
180,2026-03-24,08:30,SELL,4407.40,4414.43,4414.43,4368.96,0.05,20.50,-35.14,LOSS,4064.68
181,2026-03-24,09:00,SELL,4403.07,4416.15,4416.15,4368.96,0.03,20.32,-39.23,LOSS,4025.45
182,2026-03-24,09:00,SELL,4403.07,4416.15,4416.15,4368.96,0.03,20.13,-39.23,LOSS,3986.22
183,2026-03-24,09:30,SELL,4411.10,4418.82,4418.82,4391.63,0.04,19.93,-30.87,LOSS,3955.35
184,2026-03-24,09:30,SELL,4411.10,4418.82,4418.82,4391.63,0.04,19.78,-30.87,LOSS,3924.48
185,2026-03-24,10:03,SELL,4412.23,4418.82,4418.82,4391.63,0.04,19.62,-26.35,LOSS,3898.13
186,2026-03-24,10:03,SELL,4412.23,4418.82,4418.82,4391.63,0.04,19.49,-26.35,LOSS,3871.78
187,2026-03-24,10:33,SELL,4427.28,4435.74,4435.74,4391.63,0.03,19.36,-25.39,LOSS,3846.39
188,2026-03-24,10:33,SELL,4427.28,4435.74,4435.74,4391.63,0.03,19.23,-25.39,LOSS,3821.00
189,2026-03-24,11:03,SELL,4417.20,4418.82,4418.82,4391.63,0.17,19.10,-27.49,LOSS,3793.51
190,2026-03-24,11:03,SELL,4417.20,4418.82,4418.82,4391.63,0.17,18.97,-27.49,LOSS,3766.02
191,2026-03-24,11:45,SELL,4412.28,4418.82,4418.82,4391.63,0.04,18.83,-26.15,LOSS,3739.87
192,2026-03-24,11:45,SELL,4412.28,4418.82,4418.82,4391.63,0.04,18.70,-26.15,LOSS,3713.72
193,2026-03-24,12:15,SELL,4423.51,4391.63,4427.48,4391.63,0.06,18.57,+191.28,WIN,3905.00
194,2026-03-24,12:15,SELL,4423.51,4391.63,4427.48,4391.63,0.06,19.52,+191.28,WIN,4096.28
195,2026-03-24,16:15,SELL,4424.01,4396.74,4430.20,4396.74,0.05,20.48,+136.35,WIN,4232.63
196,2026-03-24,16:15,SELL,4424.01,4396.74,4430.20,4396.74,0.05,21.16,+136.35,WIN,4368.98
197,2026-03-24,16:48,SELL,4422.39,4396.74,4426.96,4396.74,0.07,21.84,+179.55,WIN,4548.53
198,2026-03-24,16:48,SELL,4422.39,4396.74,4426.96,4396.74,0.07,22.74,+179.55,WIN,4728.08
